NumerOfFollowings,NumberOfFollowers,NumberOfTweets,LengthOfScreenName,LengthOfDescriptionInUserProfile,CreatedAt_encoded,CollectedAt_encoded,class
1214,1906,1029,9,101,21387,21392,1
2273,2149,481,10,130,21388,21393,1
41567,46018,4309,12,108,21389,21394,1
6134,5635,570,8,111,21390,21395,1
487,278,468,14,86,21391,21396,1
12606,11925,4132,12,125,21392,21397,1
7187,7366,2829,10,95,21393,21398,1
9113,8299,41,14,156,21394,21399,1
363,149,116,10,68,21395,21400,1
9803,9385,873,13,155,21396,21401,1
1820,1668,682,8,151,21397,21402,1
10945,9950,13111,8,141,21398,21403,1
4163,6275,10,5,0,21399,21404,1
1242,235,91,8,0,21400,21405,1
2003,822,144,15,77,21401,21406,1
37067,35641,10966,10,95,21402,21407,1
954,767,91,9,46,21403,21408,1
30244,27611,2244,12,154,21404,21409,1
691,1571,1620,9,156,21405,21410,1
335,324,1296,10,87,21406,21411,1
2309,2174,56,11,93,21407,21412,1
1312,1234,201,8,140,21408,21413,1
1004,1655,642,14,135,21409,21414,1
7066,7790,1291,13,111,21410,21415,1
1629,1331,2,11,83,21411,21416,1
12382,12459,1957,15,125,21412,21417,1
4273,3885,327,7,0,21413,21418,1
1791,809,2491,10,93,21414,21419,1
31732,33989,298,13,67,21415,21420,1
4681,4844,2312,7,115,21416,21421,1
763,352,5,12,0,21417,21422,1
394,515,1242,15,0,21418,21423,1
19480,19663,6189,13,136,21419,21424,1
1848,1770,379,15,157,21420,21425,1
321,48,251,13,39,21421,21426,1
18758,17276,11730,6,63,21422,21427,1
17404,21162,392,11,70,21423,21428,1
2371,2178,404,8,155,21424,21429,1
5619,7085,3681,13,136,21425,21430,1
467,45,339,9,0,21426,21431,1
2001,613,38,15,58,21427,21432,1
2593,2592,1285,8,23,21428,21433,1
3297,3264,1326,12,139,21429,21434,1
2030,1371,390,14,103,21430,21435,1
990,359,16,11,24,21431,21436,1
2902,2650,186,11,41,21432,21437,1
11381,10349,269,9,0,21433,21438,1
4622,4202,63,14,84,21434,21439,1
10165,9579,447,14,73,21435,21440,1
19615,17849,7689,14,91,21436,21441,1
4597,4379,606,10,151,21437,21442,1
1868,939,299,15,20,21438,21443,1
3607,3475,1080,8,70,21439,21444,1
8669,8541,2775,13,57,21440,21445,1
1932,2078,29390,12,147,21441,21446,1
28438,28887,878,11,143,21442,21447,1
740,537,101,12,147,21443,21448,1
2258,2061,3861,10,75,21444,21449,1
46237,44089,551,11,159,21445,21450,1
506,4163,496,13,139,21446,21451,1
9403,9042,1931,14,26,21447,21452,1
6309,6668,272,13,138,21448,21453,1
7093,7854,1495,8,96,21449,21454,1
1922,1542,794,9,73,21450,21455,1
16387,15935,8805,12,62,21451,21456,1
2000,291,58,11,68,21452,21457,1
9891,8991,4050,10,51,21453,21458,1
423,87,247,11,61,21454,21459,1
983,169,723,11,139,21455,21460,1
9330,8904,23337,11,146,21456,21461,1
399,344,1676,6,104,21457,21462,1
1754,1055,1325,10,34,21458,21463,1
1258,822,165,10,31,21459,21464,1
598,332,87,8,87,21460,21465,1
1976,444,54,15,84,21461,21466,1
11103,10862,621,9,158,21462,21467,1
5128,4895,4101,15,76,21463,21468,1
1206,1124,2844,13,94,21464,21469,1
7858,7657,18091,6,111,21465,21470,1
33207,35840,1305,15,72,21466,21471,1
1514,1057,1540,9,38,21467,21472,1
7885,7770,10566,8,127,21468,21473,1
5047,4832,196,11,136,21469,21474,1
338,279,181,13,41,21470,21475,1
560,270,219,12,88,21471,21476,1
766,224,58,8,125,21472,21477,1
1293,562,23,13,85,21473,21478,1
1222,1346,1340,8,135,21474,21479,1
4546,4132,681,11,158,21475,21480,1
2000,1482,2084,15,131,21476,21481,1
4044,3676,139,15,108,21477,21482,1
123,64,1530,11,18,21478,21483,1
941,1443,2922,10,83,21479,21484,1
2636,2907,32,15,0,21480,21485,1
1618,445,46,6,30,21481,21486,1
296,984,5194,13,50,21482,21487,1
2390,2418,35,14,0,21483,21488,1
3648,3653,1841,15,69,21484,21489,1
906,314,1433,5,20,21485,21490,1
3241,3211,10962,11,110,21486,21491,1
2002,978,13,9,67,21487,21492,1
169,88,14,11,98,21488,21493,1
1020,224,126,13,32,21489,21494,1
321,223,1432,12,143,21490,21495,1
30507,30675,477,11,111,21491,21496,1
5325,4930,2614,12,160,21492,21497,1
479,1856,29337,10,18,21493,21498,1
768,519,23,9,140,21494,21499,1
482,350,195,12,81,21495,21500,1
839,856,742,11,52,21496,21501,1
1991,537,12,11,124,21497,21502,1
522,206,462,8,155,21498,21503,1
5527,5198,799,10,66,21499,21504,1
3798,3472,1664,11,140,21500,21505,1
4882,4852,6098,15,159,21501,21506,1
1671,456,133,9,89,21502,21507,1
1928,1733,826,6,0,21503,21508,1
38721,36064,6697,11,111,21504,21509,1
327,239,146,12,59,21505,21510,1
422,1067,7805,14,133,21506,21511,1
618,361,572,14,22,21507,21512,1
187,37,6,12,104,21508,21513,1
7721,7615,602,12,84,21509,21514,1
1517,2026,5318,8,89,21510,21515,1
1378,646,1522,9,53,21511,21516,1
19356,17936,961,8,35,21512,21517,1
7296,7659,979,8,154,21513,21518,1
525,206,5,10,53,21514,21519,1
4893,4502,779,13,106,21515,21520,1
4520,4170,1028,11,44,21516,21521,1
294,157,153,8,48,21517,21522,1
19050,20086,3074,15,63,21518,21523,1
7136,6487,644,10,140,21519,21524,1
21556,19710,7146,14,104,21520,21525,1
46692,774086,131,12,29,21521,21526,1
44771,972259,4018,11,13,21522,21527,1
8804,8004,934,7,126,21523,21528,1
5502,5345,651,9,9,21524,21529,1
19759,18410,326,14,29,21525,21530,1
181,13,31,14,0,21526,21531,1
4309,4274,3213,11,85,21527,21532,1
1191,6422,2915,13,37,21528,21533,1
293,54,37,15,53,21529,21534,1
1107,946,858,9,34,21530,21535,1
10231,9380,15956,12,38,21531,21536,1
236,60,116,9,0,21532,21537,1
4262,3879,821,14,14,21533,21538,1
1335,1317,5190,14,114,21534,21539,1
7930,7908,1240,4,78,21535,21540,1
2338,2377,15,6,19,21536,21541,1
2059,898,2870,8,97,21537,21542,1
5079,4617,677,11,153,21538,21543,1
1808,1094,268,13,79,21539,21544,1
619,2603,2551,15,79,21540,21545,1
14621,16832,1983,12,48,21541,21546,1
4981,5017,602,12,160,21542,21547,1
249,1340,171,8,84,21543,21548,1
1151,462,117,8,37,21544,21549,1
22382,20686,18746,6,159,21545,21550,1
548,123,69,15,38,21546,21551,1
927,480,103,7,91,21547,21552,1
1464,94,2,8,0,21548,21553,1
7299,6920,2224,11,121,21549,21554,1
1732,170,128,7,132,21550,21555,1
2002,1740,1043,14,34,21551,21556,1
25097,24796,626,14,158,21552,21557,1
46,0,5,10,0,21553,21558,1
2943,2787,1615,6,28,21554,21559,1
2343,2130,2863,10,20,21555,21560,1
8623,7833,1618,15,114,21556,21561,1
732,277,73,15,155,21557,21562,1
605,106,83,8,154,21558,21563,1
11491,12350,2557,11,0,21559,21564,1
1035,1397,223,11,0,21560,21565,1
504,329,8982,8,32,21561,21566,1
8058,7786,3596,8,16,21562,21567,1
2254,2061,348,11,54,21563,21568,1
1874,962,836,13,133,21564,21569,1
1570,1178,226,12,48,21565,21570,1
756,404,98,7,0,21566,21571,1
947,776,44,9,148,21567,21572,1
109,19,134,6,0,21568,21573,1
5714,18144,2494,10,31,21569,21574,1
34,8,13,11,126,21570,21575,1
814,723,149,10,0,21571,21576,1
197,80,797,8,0,21572,21577,1
2903,3976,139,14,31,21573,21578,1
6061,5555,10388,14,55,21574,21579,1
1497,1844,919,11,111,21575,21580,1
9129,8363,508,9,59,21576,21581,1
2048,2385,6013,8,103,21577,21582,1
7383,6712,213,15,92,21578,21583,1
5925,5866,7818,10,157,21579,21584,1
2526,2466,90,8,49,21580,21585,1
4373,4153,292,14,122,21581,21586,1
9783,8893,798,14,35,21582,21587,1
126,12,12,6,0,21583,21588,1
19229,22149,7245,11,103,21584,21589,1
5835,8344,275,10,34,21585,21590,1
2369,2158,2458,13,38,21586,21591,1
349,108,82,7,0,21587,21592,1
142,83,6,7,0,21588,21593,1
5601,5398,1238,10,160,21589,21594,1
1375,557,804,15,36,21590,21595,1
32328,33977,20755,13,158,21591,21596,1
580,1550,261,12,13,21592,21597,1
3570,3245,2262,10,154,21593,21598,1
180,88,451,13,40,21594,21599,1
936,631,344,11,133,21595,21600,1
1988,1390,1176,13,0,21596,21601,1
555,119,48,14,118,21597,21602,1
1092,457,47,10,139,21598,21603,1
403,134,66,7,160,21599,21604,1
3059,3208,717,9,151,21600,21605,1
487,4319,589,12,131,21601,21606,1
124,133,2694,7,0,21602,21607,1
1671,1150,360,10,158,21603,21608,1
1470,5457,166,7,104,21604,21609,1
219,182,1477,13,148,21605,21610,1
4504,8593,3053,6,111,21606,21611,1
13469,14271,2743,14,126,21607,21612,1
682,479,51,8,78,21608,21613,1
1996,1182,126,9,100,21609,21614,1
2326,2665,20216,7,150,21610,21615,1
11646,11884,4921,11,124,5159,21616,1
2608,2595,1198,13,0,21611,21617,1
4107,3989,8774,11,92,21612,21618,1
2581,2482,591,6,159,21613,21619,1
110,34,3,8,89,21614,21620,1
12698,12313,4804,7,82,21615,21621,1
14624,13382,1969,8,92,21616,21622,1
382,84,38,9,0,21617,21623,1
1912,1293,48,9,89,21618,21624,1
1306,1616,12157,11,83,21619,21625,1
4657,4356,1777,14,86,21620,21626,1
3061,3184,1145,14,121,21621,21627,1
7496,6820,1067,11,156,21622,21628,1
10043,9131,1884,13,133,21623,21629,1
505,1289,302,7,73,21624,21630,1
808,213,48,13,160,21625,21631,1
2652,10812,58,14,38,21626,21632,1
934,1158,10478,15,141,21627,21633,1
1962,812,227,12,46,21628,21634,1
3098,3165,3077,12,142,21629,21635,1
381,63,1489,10,127,21630,21636,1
3368,5830,2073,10,127,21631,21637,1
1805,1729,1973,13,88,21632,21638,1
3892,3610,67,10,93,21633,21639,1
990,936,186,13,82,21634,21640,1
409,38,14,9,86,21635,21641,1
615,673,1834,10,99,21636,21642,1
1324,1101,129,13,120,21637,21643,1
1198,659,1248,6,74,21638,21644,1
257,67,130,9,112,21639,21645,1
459,347,967,12,95,21640,21646,1
5747,5409,18,10,31,21641,21647,1
2166,2118,382,11,119,21642,21648,1
254,139,1044,7,35,21643,21649,1
1081,886,2,11,107,21644,21650,1
236,22,31,11,0,21645,21651,1
1807,974,80,7,57,21646,21652,1
515,82,8,7,0,21647,21653,1
547,438,1597,15,147,21648,21654,1
9530,10722,1338,13,57,21649,21655,1
26442,24767,3133,7,126,21650,21656,1
686,138,758,7,36,21651,21657,1
649,345,1118,15,37,21652,21658,1
964,722,97,15,52,21653,21659,1
1383,1125,1023,4,36,21654,21660,1
21,16,7,6,131,21655,21661,1
1282,734,4927,10,54,21656,21662,1
3224,11111,2458,6,142,21657,21663,1
818,549,658,14,117,21658,21664,1
36523,37130,688,15,49,21659,21665,1
4191,4112,942,8,95,21660,21666,1
543,266,1095,10,71,21661,21667,1
3698,3364,15333,8,160,21662,21668,1
13651,13044,2572,13,96,21663,21669,1
317,70,60,15,159,21664,21670,1
6740,6316,2870,12,154,21665,21671,1
1908,654,45,7,89,21666,21672,1
9748,8882,4433,10,0,21667,21673,1
1988,1002,278,13,129,21668,21674,1
7341,6672,1271,13,153,21669,21675,1
4518,4183,10266,7,82,21670,21676,1
315,82,471,14,52,21671,21677,1
1835,1143,13712,9,141,21672,21678,1
2834,2738,114,14,139,21673,21679,1
1892,1161,685,9,60,21674,21680,1
23637,23570,2700,14,117,21675,21681,1
48221,46808,903,11,152,21676,21682,1
1822,1426,288,12,160,21677,21683,1
1227,906,1438,9,108,21678,21684,1
65762,65134,38177,7,156,21679,21685,1
2001,928,298,13,153,21680,21686,1
2000,1498,852,8,66,21681,21687,1
1510,583,64,12,71,21682,21688,1
661,661,784,15,111,21683,21689,1
8420,8416,22277,15,104,21684,21690,1
954,880,7400,13,55,21685,21691,1
765,393,911,7,141,21686,21692,1
2938,3195,2026,9,107,5376,21693,1
7904,9478,1555,14,101,21687,21694,1
1427,629,55,12,28,21688,21695,1
560,423,74,11,33,21689,21696,1
1638,1223,508,13,44,21690,21697,1
2029,1848,2725,12,111,21691,21698,1
5871,6402,115,13,115,21692,21699,1
43831,43319,12087,11,86,21693,21700,1
698,95,21,9,87,21694,21701,1
200,40,78,13,76,21695,21702,1
484,328,89,14,64,21696,21703,1
244,113,690,9,26,21697,21704,1
3453,3441,10981,8,39,21698,21705,1
262,85,685,13,0,21699,21706,1
33604,33571,9062,15,140,21700,21707,1
2531,2438,474,12,158,21701,21708,1
1277,254,77,8,115,21702,21709,1
645,636,19,9,94,21703,21710,1
1153,400,348,11,105,21704,21711,1
1050,308,37,11,52,21705,21712,1
3378,3076,1689,11,119,21706,21713,1
1436,1049,319,12,35,21707,21714,1
2268,2061,61,15,0,21708,21715,1
4703,4275,244,8,23,21709,21716,1
1105,835,736,14,40,21710,21717,1
4835,5054,57,15,65,21711,21718,1
167,20,10,11,0,21712,21719,1
960,435,26,11,91,21713,21720,1
25690,25233,1352,13,148,21714,21721,1
16357,14869,5588,9,97,21715,21722,1
335,184,1867,13,121,21716,21723,1
772,621,2808,10,30,21717,21724,1
1719,1271,195,14,26,21718,21725,1
21018,19243,383,9,155,21719,21726,1
4811,4398,272,13,43,21720,21727,1
177,58,51,11,19,21721,21728,1
2994,2793,3511,10,142,21722,21729,1
2832,2585,269,10,71,21723,21730,1
698,712,154,13,118,21724,21731,1
493,467,31,11,87,21725,21732,1
1868,1130,153,14,27,21726,21733,1
961,439,238,13,6,21727,21734,1
394,1880,388,15,65,21728,21735,1
213,83,137,8,159,21729,21736,1
460,134,388,8,104,21730,21737,1
1556,1400,3176,11,78,21731,21738,1
1174,925,223,13,156,21732,21739,1
279,147,650,13,138,21733,21740,1
6200,5769,253,10,0,21734,21741,1
2001,1123,487,13,111,21735,21742,1
488,18,2,9,0,21736,21743,1
1207,1693,1491,8,30,21737,21744,1
4677,4269,1538,12,65,21738,21745,1
1469,527,111,9,0,21739,21746,1
2840,3859,878,11,152,21740,21747,1
1246,646,491,14,31,21741,21748,1
1920,1896,213,14,78,21742,21749,1
2001,1367,292,12,0,21743,21750,1
14880,13540,2145,13,39,21744,21751,1
1267,442,129,15,0,21745,21752,1
12783,12056,14835,9,41,21746,21753,1
17402,22577,1007,8,38,21747,21754,1
2000,1361,784,4,47,21748,21755,1
18086,17452,38,11,108,21749,21756,1
15716,15032,824,7,72,21750,21757,1
1894,390,47,12,148,21751,21758,1
3813,4803,2113,10,160,21752,21759,1
622,160,9,12,84,21753,21760,1
3445,3133,109,9,160,21754,21761,1
10499,9544,10066,12,47,21755,21762,1
165,79,5,5,0,21756,21763,1
20826,27488,1970,9,84,21757,21764,1
246,84,198,7,0,21758,21765,1
684,295,544,8,28,21759,21766,1
1066,587,135,11,0,21760,21767,1
1296,669,139,6,28,21761,21768,1
1982,1032,472,10,70,21762,21769,1
1846,708,60,11,69,21763,21770,1
252,250,241,9,107,21764,21771,1
1999,332,129,8,98,21765,21772,1
1453,2123,504,10,0,21766,21773,1
425,284,11027,11,0,21767,21774,1
6448,6638,3038,13,146,21768,21775,1
89,7,5,7,0,21769,21776,1
1819,1280,25627,10,58,21770,21777,1
1660,3471,274,7,89,21771,21778,1
1904,1064,541,15,78,21772,21779,1
32013,32178,6403,12,36,21773,21780,1
689,791,348,15,138,21774,21781,1
1533,1004,330,15,65,21775,21782,1
14719,13815,11098,9,90,21776,21783,1
830,782,2814,12,56,21777,21784,1
672,200,1781,8,0,21778,21785,1
43,13,5,11,0,21779,21786,1
611,213,18,11,90,21780,21787,1
1308,1057,566,14,78,21781,21788,1
2242,4394,201,15,45,21782,21789,1
2581,2413,791,14,84,21783,21790,1
947,3839,150,14,61,21784,21791,1
4628,4497,1523,13,156,21785,21792,1
1590,692,41,9,153,21786,21793,1
540,379,74,12,105,21787,21794,1
270,367,1041,12,24,21788,21795,1
2765,2780,14355,11,19,21789,21796,1
82569,75054,26200,7,93,21790,21797,1
749,363,407,10,45,21791,21798,1
2000,349,116,8,0,21792,21799,1
7800,7795,406,4,148,21793,21800,1
6527,6290,1329,8,98,21794,21801,1
725,325,1160,7,55,21795,21802,1
1185,337,95,6,71,21796,21803,1
33076,32679,2328,8,149,21797,21804,1
10852,11569,11456,11,87,21798,21805,1
293,70,35,7,156,21799,21806,1
7065,8767,111,8,25,21800,21807,1
5835,5548,2241,6,39,21801,21808,1
1785,1477,829,9,135,21802,21809,1
515,41450,844,13,151,21803,21810,1
9508,9023,11623,9,56,21804,21811,1
220,70,254,14,146,21805,21812,1
131,140,192,9,55,21806,21813,1
3242,3834,502,13,119,21807,21814,1
2064,1949,119,13,124,21808,21815,1
199,107,14,8,0,21809,21816,1
665,359,310,10,18,21810,21817,1
799,631,199,12,0,21811,21818,1
868,2181,382,14,0,21812,21819,1
1010,868,612,11,0,21813,21820,1
917,445,169,14,160,21814,21821,1
1985,1129,851,11,43,21815,21822,1
741,660,2424,7,84,21816,21823,1
364,102,397,10,57,21817,21824,1
30669,30119,4878,14,128,21818,21825,1
147,91,69,12,32,21819,21826,1
3526,4286,557,9,45,21820,21827,1
1071,301,16,7,110,21821,21828,1
1996,1451,236,14,157,21822,21829,1
1006,264,30,8,59,21823,21830,1
2028,1847,399,14,156,21824,21831,1
1267,250,1312,11,76,21825,21832,1
467,112,35,12,136,21826,21833,1
1050,1119,172,15,160,21827,21834,1
1009,808,219,13,48,21828,21835,1
5504,5459,1082,12,91,21829,21836,1
1926,1550,428,7,97,21830,21837,1
36192,36536,20865,7,132,21831,21838,1
1856,808,413,10,85,21832,21839,1
1910,1764,28907,14,77,21833,21840,1
110,1219,6902,15,151,21834,21841,1
1960,1125,3852,10,105,21835,21842,1
15305,15200,1158,14,78,21836,21843,1
2224,2206,1933,7,80,21837,21844,1
1798,1853,722,15,51,21838,21845,1
1148,1615,2155,7,36,21839,21846,1
7561,7134,1909,14,156,21840,21847,1
1698,893,254,12,151,21841,21848,1
1712,1278,269,11,53,21842,21849,1
18,13,2,8,0,21843,21850,1
1092,950,31,13,72,21844,21851,1
1504,1991,4427,9,118,21845,21852,1
16607,15100,27545,15,157,21846,21853,1
224,25,11,10,36,21847,21854,1
2211,2915,757,9,32,21848,21855,1
2721,2504,8300,8,49,21849,21856,1
1075,554,1133,8,0,21850,21857,1
8568,10532,2623,11,104,21851,21858,1
1882,2335,8692,11,75,21852,21859,1
1705,1706,944,12,156,21853,21860,1
1654,986,8302,9,145,21854,21861,1
4067,3700,1874,14,66,21855,21862,1
20602,20711,1425,15,51,21856,21863,1
576,317,154,12,75,21857,21864,1
1103,4081,1515,11,33,21858,21865,1
195,151,3524,11,129,21859,21866,1
5487,4995,91,10,22,21860,21867,1
5723,5203,714,12,54,21861,21868,1
11565,10665,4227,11,158,21862,21869,1
7488,6813,145,15,136,21863,21870,1
1414,445,1300,13,0,21864,21871,1
691,128,66,13,55,21865,21872,1
26662,26601,5407,15,41,21866,21873,1
45053,41343,99,9,154,21867,21874,1
133,1199,5798,12,105,21868,21875,1
6354,5822,43557,14,100,21869,21876,1
950,875,832,12,36,21870,21877,1
913,602,1570,12,133,21871,21878,1
29729,28285,6352,13,160,21872,21879,1
1141,1342,223,14,92,21873,21880,1
1920,1069,669,14,74,21874,21881,1
37004,34335,7680,7,16,21875,21882,1
2853,3327,345,14,125,21876,21883,1
6890,7224,212,13,81,21877,21884,1
1025,342,65,15,149,21878,21885,1
2002,1443,107,14,8,21879,21886,1
586,368,9,7,0,21880,21887,1
1915,417,2222,15,30,21881,21888,1
825,112,61,14,36,21882,21889,1
253,156,109,7,4,21883,21890,1
4959,4564,2843,13,0,21884,21891,1
2343,2256,279,15,0,21885,21892,1
7155,6674,9802,10,37,21886,21893,1
1538,1235,399,10,150,21887,21894,1
1356,1208,28,9,54,21888,21895,1
2802,2609,1417,7,152,21889,21896,1
1959,1729,1761,11,33,21890,21897,1
909,426,494,14,29,21891,21898,1
918,900,5937,14,29,21892,21899,1
5842,5360,10754,10,92,21893,21900,1
10861,10002,6073,11,33,21894,21901,1
1801,1059,521,14,153,21895,21902,1
2061,1919,1339,12,103,21896,21903,1
33315,33808,12,15,104,21897,21904,1
1542,108,208,12,0,21898,21905,1
32,26,66,5,0,21899,21906,1
1943,3113,664,9,131,21900,21907,1
156,170,5347,5,139,21901,21908,1
417,502,209,9,78,21902,21909,1
1329,1195,13,11,0,21903,21910,1
1362,1600,4929,7,158,21904,21911,1
3848,3558,521,7,130,21905,21912,1
3214,3000,232,13,26,21906,21913,1
1977,493,42,9,155,21907,21914,1
1545,887,333,14,139,21908,21915,1
1402,1017,47,13,35,21909,21916,1
501,861,1491,15,135,21910,21917,1
5136,4830,4972,10,58,21911,21918,1
6469,8357,1723,10,146,21912,21919,1
6155,5926,11514,13,96,21913,21920,1
328,104,189,9,109,21914,21921,1
4405,4187,824,9,154,21915,21922,1
354,194,47,11,137,21916,21923,1
4255,3866,16501,8,112,21917,21924,1
7894,7550,1830,11,54,21918,21925,1
476,298,594,10,72,21919,21926,1
3742,3409,1917,7,149,21920,21927,1
1635,352,873,6,68,21921,21928,1
146,49,428,9,137,21922,21929,1
5232,5178,7200,14,78,21923,21930,1
16916,15872,3667,6,140,21924,21931,1
4089,3991,748,12,124,21925,21932,1
1336,1169,153,10,99,21926,21933,1
1227,900,110,14,107,21927,21934,1
96,114,906,12,81,21928,21935,1
41394,40800,22383,10,72,21929,21936,1
1026,1542,1971,8,129,21930,21937,1
6193,5705,2393,8,34,21931,21938,1
15241,14681,7768,14,87,21932,21939,1
4035,4566,1098,8,80,21933,21940,1
2001,1726,415,12,96,21934,21941,1
30203,31555,1775,11,93,21935,21942,1
8119,7406,7379,7,126,21936,21943,1
98,41,1115,13,46,21937,21944,1
1831,925,1013,5,130,21938,21945,1
387,314,1411,6,13,21939,21946,1
1869,1370,815,12,158,21940,21947,1
569,465,114,11,0,21941,21948,1
770,655,3128,14,107,21942,21949,1
10139,9695,130,13,104,21943,21950,1
1579,987,6578,11,19,21944,21951,1
75,13,27,8,0,21945,21952,1
651,202,10,13,0,21946,21953,1
1668,1524,1395,11,0,21947,21954,1
17425,17640,3583,14,158,21948,21955,1
12853,11870,2074,11,141,21949,21956,1
291,389,1383,10,46,21950,21957,1
1511,874,5767,10,70,21951,21958,1
150,211,622,12,16,21952,21959,1
32361,30029,1462,12,160,21953,21960,1
667,112,579,9,27,21954,21961,1
5024,4569,3799,8,42,21955,21962,1
41137,40274,822,15,129,21956,21963,1
14099,12820,6981,14,68,21957,21964,1
7892,7813,763,12,160,21958,21965,1
2404,2279,225,13,47,21959,21966,1
10536,10280,11069,5,155,21960,21967,1
2001,1292,209,12,33,21961,21968,1
311,97,246,14,28,21962,21969,1
1004,240,93,13,149,21963,21970,1
13255,12486,5296,12,68,21964,21971,1
98,486,4922,11,61,21965,21972,1
1317,1369,344,15,153,21966,21973,1
1914,1758,1885,11,157,21967,21974,1
800,328,246,7,136,21968,21975,1
1965,1034,440,12,159,21969,21976,1
45185,49397,312,9,71,21970,21977,1
1934,1224,42,14,0,21971,21978,1
1801,1425,230,13,153,21972,21979,1
6713,6453,2628,11,38,21973,21980,1
11018,10025,2866,15,140,21974,21981,1
2242,5705,1628,13,81,21975,21982,1
13831,14240,14892,13,55,21976,21983,1
304,69,7,12,90,21977,21984,1
1995,321,57,12,137,21978,21985,1
1242,861,500,11,42,21979,21986,1
4415,4156,869,11,131,21980,21987,1
328,290,648,15,109,21981,21988,1
1120,804,76,9,75,21982,21989,1
43836,41677,866,9,129,21983,21990,1
204,780,2102,10,0,21984,21991,1
99,26,15,9,0,21985,21992,1
9134,9493,17724,13,0,21986,21993,1
17095,16862,13755,9,105,21987,21994,1
399,113,513,6,109,21988,21995,1
25109,24758,836,14,65,21989,21996,1
2258,2052,3488,6,52,21990,21997,1
5810,6277,12786,12,97,21991,21998,1
5862,6453,277,15,147,21992,21999,1
5179,5154,4676,15,50,21993,22000,1
1130,357,134,8,98,21994,22001,1
555,496,218,13,0,21995,22002,1
4715,4512,183,8,74,21996,22003,1
3918,3921,332,11,25,21997,22004,1
2318,2195,353,9,19,21998,22005,1
1894,1533,335,15,46,21999,22006,1
3893,3665,413,12,12,22000,22007,1
181,245,1384,7,56,22001,22008,1
875,559,171,13,148,22002,22009,1
3149,3126,666,6,154,22003,22010,1
5194,4722,14590,13,70,22004,22011,1
118,196,325,11,62,22005,22012,1
1498,2699,2594,8,44,22006,22013,1
4628,4235,6760,14,101,22007,22014,1
4271,3882,9095,11,104,22008,22015,1
1062,597,609,14,23,22009,22016,1
1761,3384,75,13,64,22010,22017,1
1323,1200,68,8,36,22011,22018,1
2490,2332,851,14,0,22012,22019,1
1383,899,329,7,82,22013,22020,1
597,291,59,7,35,22014,22021,1
26606,37686,1431,12,157,22015,22022,1
1413,5822,501,15,79,22016,22023,1
2675,3075,6288,8,0,22017,22024,1
1402,1615,300,12,0,22018,22025,1
1603,362,10,9,0,22019,22026,1
548,41,54,11,204,22020,22027,1
1626,852,3631,15,0,22021,22028,1
7661,6964,120,10,67,22022,22029,1
521,178,438,9,0,22023,22030,1
1171,862,3103,15,131,22024,22031,1
1802,636,3,6,160,22025,22032,1
142,170,112,15,121,22026,22033,1
9194,8976,1404,12,103,22027,22034,1
16902,18296,514,15,91,22028,22035,1
422,407,1012,15,70,22029,22036,1
288,224,261,10,0,22030,22037,1
4438,4355,372,10,56,22031,22038,1
12685,12090,32065,14,55,22032,22039,1
1487,524,514,13,0,22033,22040,1
1673,161,1,11,0,22034,22041,1
6044,5499,4642,15,155,22035,22042,1
314,259,470,15,139,22036,22043,1
3223,3031,68,10,157,22037,22044,1
13938,20902,977,7,56,22038,22045,1
1977,901,1255,9,117,22039,22046,1
8550,8487,5941,15,160,22040,22047,1
1803,1585,179,12,0,22041,22048,1
167,844,17730,14,128,22042,22049,1
1061,412,6,11,28,22043,22050,1
597,413,17,9,93,22044,22051,1
33513,31461,8828,8,80,22045,22052,1
768,1789,6417,13,19,22046,22053,1
8207,7682,146,12,160,22047,22054,1
3805,3575,591,9,68,22048,22055,1
7311,6643,4928,11,80,22049,22056,1
33422,34031,18269,14,91,22050,22057,1
28448,26935,480,8,129,22051,22058,1
1644,694,739,8,110,22052,22059,1
3750,3600,1189,15,115,22053,22060,1
3728,3389,1903,6,78,22054,22061,1
2922,2865,638,13,68,22055,22062,1
5265,4871,49272,11,53,22056,22063,1
2001,435,57,10,12,22057,22064,1
3126,3156,5765,12,65,22058,22065,1
1992,972,8957,9,99,22059,22066,1
2001,1283,151,11,97,22060,22067,1
1504,883,805,13,0,22061,22068,1
229,18,39,10,0,22062,22069,1
7102,6487,3133,14,138,22063,22070,1
737,487,1008,10,112,22064,22071,1
594,514,321,7,54,22065,22072,1
423,254,1160,9,97,22066,22073,1
2391,2198,2665,13,147,22067,22074,1
1263,588,45,13,44,22068,22075,1
3533,3561,2030,12,140,22069,22076,1
9913,9053,4966,14,65,22070,22077,1
3357,3552,948,13,150,22071,22078,1
1199,689,81,6,105,22072,22079,1
2386,2243,753,6,152,22073,22080,1
1910,357,150,12,51,22074,22081,1
2003,1658,3787,10,98,22075,22082,1
13630,13602,8700,12,117,22076,22083,1
561,495,963,10,146,22077,22084,1
11757,10690,5565,12,83,22078,22085,1
993,2003,1259,5,62,22079,22086,1
445,169,21,11,0,22080,22087,1
2418,4678,3625,5,116,22081,22088,1
275,77,78,13,0,22082,22089,1
415,160,1331,13,41,22083,22090,1
8284,7703,433,12,128,22084,22091,1
978,56,4,15,55,22085,22092,1
1191,182,58,6,159,22086,22093,1
371,2930,2308,11,7,22087,22094,1
12410,11720,15529,9,148,22088,22095,1
174,262,17,13,60,22089,22096,1
